Time,Source,Destination,Protocol,Length,Source Port,Destination Port,bad_packet
14.089036113,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.691963809,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.69112362,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
23.4980903,192.167.5.35,192.167.5.22,ICMP,42,,,1
18.749495497,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.950922143,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
33.10600852,192.167.5.35,192.167.5.22,ICMP,42,,,1
29.09198084,VMware_8a:b2:34,Broadcast,ARP,60,,,0
18.869915136,192.167.5.22,192.167.5.35,ICMP,60,,,0
23.951838014,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
14.017816056,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.884344308,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.840963666,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
33.698968527,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.644153036,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
18.656611952,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.803997467,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
24.796493822,VMware_8a:7e:e9,Broadcast,ARP,60,,,0
33.652704103,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
31.92957008,192.167.5.35,192.167.5.22,ICMP,42,,,1
23.809199778,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
23.130711484,192.167.9.39,192.167.255.255,BROWSER,239,138.0,138.0,0
3.750256842,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
24.536101034,192.167.5.35,192.167.5.22,ICMP,42,,,1
33.189833292,192.167.5.35,192.167.5.22,ICMP,42,,,1
18.868350355,192.167.5.22,192.167.5.35,ICMP,60,,,0
